#      date     time    value 
 2003-01-01 00:00:00 0.08593058 
 2003-02-01 00:00:00 0.0926304 
 2003-03-01 00:00:00 0.1726978 
 2003-04-01 00:00:00 0.1430143 
 2003-05-01 00:00:00 0.1506755 
 2003-06-01 00:00:00 0.09296088 
 2003-07-01 00:00:00 0.1169661 
 2003-08-01 00:00:00 0.1633841 
 2003-09-01 00:00:00 0.1866382 
 2003-10-01 00:00:00 0.09025692 
 2003-11-01 00:00:00 0.07132917 
 2003-12-01 00:00:00 0.0840378 
 2004-01-01 00:00:00 0.0570883 
 2004-02-01 00:00:00 0.2001881 
 2004-03-01 00:00:00 0.1840544 
 2004-04-01 00:00:00 0.1106568 
 2004-05-01 00:00:00 0.1073219 
 2004-06-01 00:00:00 0.08187463 
 2004-07-01 00:00:00 0.2624393 
 2004-08-01 00:00:00 0.08926546 
 2004-09-01 00:00:00 0.1311769 
 2004-10-01 00:00:00 0.1322284 
 2004-11-01 00:00:00 0.1074121 
 2004-12-01 00:00:00 0.08917533 
 2005-01-01 00:00:00 0.1664186 
 2005-02-01 00:00:00 0.1238762 
 2005-03-01 00:00:00 0.1556928 
 2005-04-01 00:00:00 0.1388381 
 2005-05-01 00:00:00 0.1952608 
 2005-06-01 00:00:00 0.1311168 
 2005-07-01 00:00:00  0.14695 
 2005-08-01 00:00:00 0.1341513 
 2005-09-01 00:00:00 0.1798182 
 2005-10-01 00:00:00 0.1176571 
 2005-11-01 00:00:00 0.1174468 
 2005-12-01 00:00:00 0.07980159 
 2006-01-01 00:00:00 0.09145868 
 2006-02-01 00:00:00 0.09308106 
 2006-03-01 00:00:00 0.1437954 
 2006-04-01 00:00:00 0.1300352 
 2006-05-01 00:00:00 0.1181378 
 2006-06-01 00:00:00 0.1172665 
 2006-07-01 00:00:00 0.1371557 
 2006-08-01 00:00:00 0.1396794 
 2006-09-01 00:00:00 0.1797882 
 2006-10-01 00:00:00 0.143555 
 2006-11-01 00:00:00 0.1355633 
 2006-12-01 00:00:00 0.09927013 
 2007-01-01 00:00:00 0.1515768 
 2007-02-01 00:00:00 0.05795957 
 2007-03-01 00:00:00 0.152418 
 2007-04-01 00:00:00 0.1111676 
 2007-05-01 00:00:00 0.191926 
 2007-06-01 00:00:00 0.1118285 
 2007-07-01 00:00:00 0.1723072 
 2007-08-01 00:00:00 0.1328594 
 2007-09-01 00:00:00 0.09596529 
 2007-10-01 00:00:00 0.1073219 
 2007-11-01 00:00:00 0.1225843 
 2007-12-01 00:00:00 0.08520952 
 2008-01-01 00:00:00 0.2033427 
 2008-02-01 00:00:00 0.09569489 
 2008-03-01 00:00:00 0.1959218 
 2008-04-01 00:00:00 0.2169827 
 2008-05-01 00:00:00 0.1516669 
 2008-06-01 00:00:00 0.09996114 
 2008-07-01 00:00:00 0.1041072 
 2008-08-01 00:00:00 0.1816509 
 2008-09-01 00:00:00 0.1094851 
 2008-10-01 00:00:00 0.106691 
 2008-11-01 00:00:00 0.1064807 
 2008-12-01 00:00:00 0.08674176 
 2009-01-01 00:00:00 0.05540583 
 2009-02-01 00:00:00 0.1008625 
 2009-03-01 00:00:00 0.1755519 
 2009-04-01 00:00:00 0.1096353 
 2009-05-01 00:00:00 0.1467097 
 2009-06-01 00:00:00 0.1286232 
 2009-07-01 00:00:00 0.1802088 
 2009-08-01 00:00:00 0.1409713 
 2009-09-01 00:00:00 0.1222839 
 2009-10-01 00:00:00 0.08821392 
 2009-11-01 00:00:00 0.1020342 
 2009-12-01 00:00:00 0.1031759 
 2010-01-01 00:00:00 0.08692203 
 2010-02-01 00:00:00  0.12649 
 2010-03-01 00:00:00 0.142864 
 2010-04-01 00:00:00 0.1649464 
 2010-05-01 00:00:00 0.1631738 
 2010-06-01 00:00:00 0.1345118 
 2010-07-01 00:00:00 0.1504051 
 2010-08-01 00:00:00 0.1993168 
 2010-09-01 00:00:00 0.08232529 
 2010-10-01 00:00:00 0.0822652 
 2010-11-01 00:00:00 0.1047982 
 2010-12-01 00:00:00 0.09127842 
 2011-01-01 00:00:00 0.07526494 
 2011-02-01 00:00:00 0.100532 
 2011-03-01 00:00:00 0.1099057 
 2011-04-01 00:00:00 0.1508257 
 2011-05-01 00:00:00 0.1766035 
 2011-06-01 00:00:00 0.1645558 
 2011-07-01 00:00:00 0.1404004 
 2011-08-01 00:00:00 0.1563238 
 2011-09-01 00:00:00 0.1147128 
 2011-10-01 00:00:00 0.1777151 
 2011-11-01 00:00:00 0.09076767 
 2011-12-01 00:00:00 0.1032059 
 2012-01-01 00:00:00 0.09166899 
 2012-02-01 00:00:00 0.0883341 
 2012-03-01 00:00:00 0.1976644 
 2012-04-01 00:00:00 0.1262497 
 2012-05-01 00:00:00 0.1329195 
 2012-06-01 00:00:00 0.122344 
 2012-07-01 00:00:00 0.2116048 
 2012-08-01 00:00:00 0.1645258 
 2012-09-01 00:00:00 0.1324087 
 2012-10-01 00:00:00 0.1112277 
 2012-11-01 00:00:00 0.09746749 
 2012-12-01 00:00:00 0.08550996 
 2013-01-01 00:00:00 0.08701216 
 2013-02-01 00:00:00 0.1426537 
 2013-03-01 00:00:00 0.1485724 
 2013-04-01 00:00:00 0.1459586 
 2013-05-01 00:00:00 0.1295545 
 2013-06-01 00:00:00 0.1584569 
 2013-07-01 00:00:00 0.1268506 
 2013-08-01 00:00:00 0.1839042 
 2013-09-01 00:00:00 0.1097255 
 2013-10-01 00:00:00 0.07944106 
 2013-11-01 00:00:00 0.0893556 
 2013-12-01 00:00:00 0.09181921 
 2014-01-01 00:00:00 0.08211498 
 2014-02-01 00:00:00 0.07226054 
 2014-03-01 00:00:00 0.1406708 
 2014-04-01 00:00:00 0.1201808 
 2014-05-01 00:00:00 0.1418425 
 2014-06-01 00:00:00 0.115584 
 2014-07-01 00:00:00 0.09220978 
 2014-08-01 00:00:00 0.1501647 
 2014-09-01 00:00:00 0.09425278 
 2014-10-01 00:00:00 0.09269048 
 2014-11-01 00:00:00 0.08184459 
 2014-12-01 00:00:00 0.1499845 
 2015-01-01 00:00:00 0.1245672 
 2015-02-01 00:00:00 0.09647603 
 2015-03-01 00:00:00 0.195381 
 2015-04-01 00:00:00 0.1379068 
 2015-05-01 00:00:00 0.2550785 
 2015-06-01 00:00:00 0.09124837 
 2015-07-01 00:00:00 0.2165621 
 2015-08-01 00:00:00 0.1600793 
 2015-09-01 00:00:00 0.07265111 
 2015-10-01 00:00:00 0.1063906 
 2015-11-01 00:00:00 0.1662383 
 2015-12-01 00:00:00 0.1254084 
 2016-01-01 00:00:00 0.1058798 
 2016-02-01 00:00:00 0.1188588 
 2016-03-01 00:00:00 0.1369754 
 2016-04-01 00:00:00 0.1444263 
 2016-05-01 00:00:00 0.1433748 
 2016-06-01 00:00:00 0.1313271 
 2016-07-01 00:00:00 0.2013598 
 2016-08-01 00:00:00 0.2340477 
 2016-09-01 00:00:00 0.08106344 
 2016-10-01 00:00:00 0.0895659 
 2016-11-01 00:00:00 0.08761304 
 2016-12-01 00:00:00 0.1836038 
 2017-01-01 00:00:00 0.08412793 
 2017-02-01 00:00:00 0.07670706 
 2017-03-01 00:00:00 0.2009392 
 2017-04-01 00:00:00 0.1154639 
 2017-05-01 00:00:00 0.1333401 
 2017-06-01 00:00:00 0.09332141 
 2017-07-01 00:00:00 0.1129402 
