#      date     time    value 
 2003-01-01 00:00:00 0.07406318 
 2003-02-01 00:00:00 0.06910591 
 2003-03-01 00:00:00 0.1512163 
 2003-04-01 00:00:00 0.1479415 
 2003-05-01 00:00:00 0.1407009 
 2003-06-01 00:00:00 0.08677181 
 2003-07-01 00:00:00 0.1104165 
 2003-08-01 00:00:00 0.1207817 
 2003-09-01 00:00:00 0.2128366 
 2003-10-01 00:00:00 0.09151877 
 2003-11-01 00:00:00 0.05943173 
 2003-12-01 00:00:00 0.08836414 
 2004-01-01 00:00:00 0.05435429 
 2004-02-01 00:00:00 0.116215 
 2004-03-01 00:00:00 0.1416022 
 2004-04-01 00:00:00 0.1183481 
 2004-05-01 00:00:00 0.09016679 
 2004-06-01 00:00:00 0.08776326 
 2004-07-01 00:00:00 0.2265367 
 2004-08-01 00:00:00 0.1004118 
 2004-09-01 00:00:00 0.1185584 
 2004-10-01 00:00:00 0.1327993 
 2004-11-01 00:00:00 0.09659621 
 2004-12-01 00:00:00 0.08998652 
 2005-01-01 00:00:00 0.1375763 
 2005-02-01 00:00:00 0.1041974 
 2005-03-01 00:00:00 0.1663585 
 2005-04-01 00:00:00 0.1365548 
 2005-05-01 00:00:00 0.1928573 
 2005-06-01 00:00:00 0.113541 
 2005-07-01 00:00:00 0.1361642 
 2005-08-01 00:00:00 0.09211965 
 2005-09-01 00:00:00 0.1961021 
 2005-10-01 00:00:00 0.1040471 
 2005-11-01 00:00:00 0.1108371 
 2005-12-01 00:00:00 0.08406785 
 2006-01-01 00:00:00 0.07610617 
 2006-02-01 00:00:00 0.07920071 
 2006-03-01 00:00:00 0.1627231 
 2006-04-01 00:00:00 0.1205413 
 2006-05-01 00:00:00 0.114863 
 2006-06-01 00:00:00 0.1284128 
 2006-07-01 00:00:00 0.1184683 
 2006-08-01 00:00:00 0.1568646 
 2006-09-01 00:00:00 0.1438555 
 2006-10-01 00:00:00 0.1280223 
 2006-11-01 00:00:00 0.1264299 
 2006-12-01 00:00:00 0.097137 
 2007-01-01 00:00:00 0.1564139 
 2007-02-01 00:00:00 0.06529032 
 2007-03-01 00:00:00 0.1297949 
 2007-04-01 00:00:00 0.1139617 
 2007-05-01 00:00:00 0.1604398 
 2007-06-01 00:00:00 0.1031158 
 2007-07-01 00:00:00 0.1381171 
 2007-08-01 00:00:00 0.1123092 
 2007-09-01 00:00:00 0.08130379 
 2007-10-01 00:00:00 0.09680652 
 2007-11-01 00:00:00 0.07682723 
 2007-12-01 00:00:00 0.07466406 
