#      date     time    value 
 2003-01-01 00:00:00 0.1043776 
 2003-02-01 00:00:00 0.1317177 
 2003-03-01 00:00:00 0.1505253 
 2003-04-01 00:00:00 0.2019607 
 2003-05-01 00:00:00 0.1950806 
 2003-06-01 00:00:00 0.2016903 
 2003-07-01 00:00:00 0.2008791 
 2003-08-01 00:00:00 0.1182279 
 2003-09-01 00:00:00 0.1204512 
 2003-10-01 00:00:00 0.1068112 
 2003-11-01 00:00:00 0.1114981 
 2003-12-01 00:00:00 0.1057897 
 2004-01-01 00:00:00 0.1309966 
 2004-02-01 00:00:00 0.1303357 
 2004-03-01 00:00:00 0.1591479 
 2004-04-01 00:00:00 0.1856768 
 2004-05-01 00:00:00 0.1990464 
 2004-06-01 00:00:00 0.1601994 
 2004-07-01 00:00:00 0.1434349 
 2004-08-01 00:00:00 0.142864 
 2004-09-01 00:00:00 0.09094793 
 2004-10-01 00:00:00 0.0953644 
 2004-11-01 00:00:00 0.08247551 
 2004-12-01 00:00:00 0.06694274 
 2005-01-01 00:00:00 0.1020642 
 2005-02-01 00:00:00 0.09136855 
 2005-03-01 00:00:00 0.1838741 
 2005-04-01 00:00:00 0.2122357 
 2005-05-01 00:00:00 0.1499544 
 2005-06-01 00:00:00 0.1781658 
 2005-07-01 00:00:00 0.1058498 
 2005-08-01 00:00:00 0.09899973 
 2005-09-01 00:00:00 0.1208418 
 2005-10-01 00:00:00 0.1366149 
 2005-11-01 00:00:00 0.1112277 
 2005-12-01 00:00:00 0.08277595 
 2006-01-01 00:00:00 0.1022445 
 2006-02-01 00:00:00 0.1373359 
 2006-03-01 00:00:00 0.1826123 
 2006-04-01 00:00:00 0.1596286 
 2006-05-01 00:00:00 0.1946299 
 2006-06-01 00:00:00 0.1480617 
 2006-07-01 00:00:00 0.1141119 
 2006-08-01 00:00:00 0.1243269 
 2006-09-01 00:00:00 0.1738394 
 2006-10-01 00:00:00 0.1226744 
 2006-11-01 00:00:00 0.1525983 
 2006-12-01 00:00:00 0.1205714 
 2007-01-01 00:00:00 0.1140218 
 2007-02-01 00:00:00 0.1553023 
 2007-03-01 00:00:00 0.134662 
 2007-04-01 00:00:00 0.1849557 
 2007-05-01 00:00:00   0.1879 
 2007-06-01 00:00:00 0.182432 
 2007-07-01 00:00:00 0.1328894 
 2007-08-01 00:00:00 0.1572852 
 2007-09-01 00:00:00 0.1233354 
 2007-10-01 00:00:00 0.1317477 
 2007-11-01 00:00:00 0.1020943 
 2007-12-01 00:00:00 0.09013674 
 2008-01-01 00:00:00 0.1486926 
 2008-02-01 00:00:00 0.1378767 
 2008-03-01 00:00:00   0.1401 
 2008-04-01 00:00:00 0.216502 
 2008-05-01 00:00:00 0.1868485 
 2008-06-01 00:00:00 0.1308464 
 2008-07-01 00:00:00 0.1303056 
 2008-08-01 00:00:00 0.1180176 
 2008-09-01 00:00:00 0.1467397 
 2008-10-01 00:00:00 0.1265201 
 2008-11-01 00:00:00 0.08752291 
 2008-12-01 00:00:00 0.0865615 
 2009-01-01 00:00:00 0.1235758 
 2009-02-01 00:00:00 0.1157343 
 2009-03-01 00:00:00 0.1785263 
 2009-04-01 00:00:00 0.1897628 
 2009-05-01 00:00:00 0.1956815 
 2009-06-01 00:00:00 0.1602595 
 2009-07-01 00:00:00 0.1520575 
 2009-08-01 00:00:00 0.1530189 
 2009-09-01 00:00:00 0.1273914 
 2009-10-01 00:00:00 0.1308464 
 2009-11-01 00:00:00 0.134001 
 2009-12-01 00:00:00 0.1297348 
 2010-01-01 00:00:00 0.1169961 
 2010-02-01 00:00:00 0.1473106 
 2010-03-01 00:00:00 0.1768138 
 2010-04-01 00:00:00 0.2557996 
 2010-05-01 00:00:00 0.2606367 
 2010-06-01 00:00:00 0.1740497 
 2010-07-01 00:00:00 0.1076524 
 2010-08-01 00:00:00 0.1289837 
 2010-09-01 00:00:00 0.1222839 
 2010-10-01 00:00:00 0.1257089 
 2010-11-01 00:00:00 0.07878009 
 2010-12-01 00:00:00 0.1161248 
 2011-01-01 00:00:00 0.1112877 
 2011-02-01 00:00:00 0.1695131 
 2011-03-01 00:00:00 0.1798482 
 2011-04-01 00:00:00 0.2126563 
 2011-05-01 00:00:00 0.1582165 
 2011-06-01 00:00:00 0.1796379 
 2011-07-01 00:00:00 0.1178073 
 2011-08-01 00:00:00 0.1339109 
 2011-09-01 00:00:00 0.1365848 
 2011-10-01 00:00:00 0.1182279 
 2011-11-01 00:00:00 0.1437053 
 2011-12-01 00:00:00 0.09193938 
 2012-01-01 00:00:00 0.07983164 
 2012-02-01 00:00:00 0.1278721 
 2012-03-01 00:00:00 0.1811101 
 2012-04-01 00:00:00 0.161942 
 2012-05-01 00:00:00 0.230833 
 2012-06-01 00:00:00 0.1924968 
 2012-07-01 00:00:00 0.1351127 
 2012-08-01 00:00:00 0.1160047 
 2012-09-01 00:00:00 0.1178974 
 2012-10-01 00:00:00 0.1214126 
 2012-11-01 00:00:00 0.07784873 
 2012-12-01 00:00:00 0.1205714 
 2013-01-01 00:00:00 0.1460187 
 2013-02-01 00:00:00 0.1522378 
 2013-03-01 00:00:00 0.1676504 
 2013-04-01 00:00:00 0.2503316 
 2013-05-01 00:00:00 0.1295545 
 2013-06-01 00:00:00 0.1618519 
 2013-07-01 00:00:00 0.1675602 
 2013-08-01 00:00:00 0.1077125 
 2013-09-01 00:00:00 0.09088784 
 2013-10-01 00:00:00 0.1306361 
 2013-11-01 00:00:00 0.1068713 
 2013-12-01 00:00:00 0.1270308 
 2014-01-01 00:00:00 0.1248977 
 2014-02-01 00:00:00 0.1726978 
 2014-03-01 00:00:00 0.1759726 
 2014-04-01 00:00:00 0.1577358 
 2014-05-01 00:00:00 0.1863978 
 2014-06-01 00:00:00 0.1514566 
 2014-07-01 00:00:00 0.1533194 
 2014-08-01 00:00:00 0.1103564 
 2014-09-01 00:00:00 0.1314473 
 2014-10-01 00:00:00 0.1368252 
 2014-11-01 00:00:00 0.1117685 
 2014-12-01 00:00:00 0.09151877 
 2015-01-01 00:00:00 0.07742811 
 2015-02-01 00:00:00 0.1093048 
 2015-03-01 00:00:00 0.1577959 
 2015-04-01 00:00:00 0.1854965 
 2015-05-01 00:00:00 0.2197467 
 2015-06-01 00:00:00 0.1698736 
 2015-07-01 00:00:00 0.1661482 
 2015-08-01 00:00:00 0.1130003 
 2015-09-01 00:00:00 0.1321984 
 2015-10-01 00:00:00 0.1142621 
 2015-11-01 00:00:00 0.1074722 
 2015-12-01 00:00:00 0.1379368 
 2016-01-01 00:00:00 0.1340912 
 2016-02-01 00:00:00 0.1369153 
