#      date     time    value 
 2003-01-01 00:00:00 0.1334302 
 2003-02-01 00:00:00 0.1539202 
 2003-03-01 00:00:00 0.1335203 
 2003-04-01 00:00:00 0.1379368 
 2003-05-01 00:00:00 0.1636846 
 2003-06-01 00:00:00 0.1001414 
 2003-07-01 00:00:00 0.09722714 
 2003-08-01 00:00:00 0.1020943 
 2003-09-01 00:00:00 0.2045745 
 2003-10-01 00:00:00 0.1662984 
 2003-11-01 00:00:00 0.1214426 
 2003-12-01 00:00:00 0.131237 
 2004-01-01 00:00:00 0.1316276 
 2004-02-01 00:00:00 0.1987459 
 2004-03-01 00:00:00 0.2032826 
 2004-04-01 00:00:00 0.1639549 
 2004-05-01 00:00:00 0.1818312 
 2004-06-01 00:00:00 0.1705646 
 2004-07-01 00:00:00 0.1593282 
 2004-08-01 00:00:00 0.1443061 
 2004-09-01 00:00:00 0.2061668 
 2004-10-01 00:00:00 0.1501347 
 2004-11-01 00:00:00 0.1078627 
 2004-12-01 00:00:00 0.1540104 
 2005-01-01 00:00:00 0.1913852 
 2005-02-01 00:00:00 0.1779555 
 2005-03-01 00:00:00 0.151697 
 2005-04-01 00:00:00 0.2186651 
 2005-05-01 00:00:00 0.1703844 
 2005-06-01 00:00:00 0.1242668 
 2005-07-01 00:00:00 0.1625128 
 2005-08-01 00:00:00 0.1778954 
 2005-09-01 00:00:00 0.2343181 
 2005-10-01 00:00:00 0.1616416 
 2005-11-01 00:00:00 0.1498343 
 2005-12-01 00:00:00 0.1788868 
 2006-01-01 00:00:00 0.1741399 
 2006-02-01 00:00:00 0.1209018 
 2006-03-01 00:00:00 0.1489029 
 2006-04-01 00:00:00 0.1356835 
 2006-05-01 00:00:00 0.1307563 
 2006-06-01 00:00:00 0.1574354 
 2006-07-01 00:00:00 0.1078627 
 2006-08-01 00:00:00 0.1862777 
 2006-09-01 00:00:00 0.1591779 
 2006-10-01 00:00:00 0.1444263 
 2006-11-01 00:00:00 0.1231852 
 2006-12-01 00:00:00 0.1718866 
 2007-01-01 00:00:00 0.2259058 
 2007-02-01 00:00:00 0.1739897 
 2007-03-01 00:00:00 0.2490397 
 2007-04-01 00:00:00 0.1418125 
 2007-05-01 00:00:00 0.1515768 
 2007-06-01 00:00:00 0.1211422 
 2007-07-01 00:00:00 0.1173266 
 2007-08-01 00:00:00 0.1778353 
 2007-09-01 00:00:00 0.2734655 
 2007-10-01 00:00:00 0.1532893 
 2007-11-01 00:00:00 0.1272411 
 2007-12-01 00:00:00 0.1274514 
 2008-01-01 00:00:00 0.1632339 
 2008-02-01 00:00:00 0.224734 
 2008-03-01 00:00:00 0.1422632 
 2008-04-01 00:00:00 0.1411215 
 2008-05-01 00:00:00 0.1076825 
 2008-06-01 00:00:00 0.1392587 
 2008-07-01 00:00:00 0.148302 
 2008-08-01 00:00:00 0.1520575 
 2008-09-01 00:00:00 0.2536064 
 2008-10-01 00:00:00 0.1901233 
 2008-11-01 00:00:00 0.1397395 
 2008-12-01 00:00:00 0.1452676 
 2009-01-01 00:00:00 0.1344817 
 2009-02-01 00:00:00 0.1205413 
 2009-03-01 00:00:00 0.1409112 
 2009-04-01 00:00:00 0.1044978 
 2009-05-01 00:00:00 0.1010127 
 2009-06-01 00:00:00 0.1325589 
 2009-07-01 00:00:00 0.1096954 
 2009-08-01 00:00:00 0.1562336 
 2009-09-01 00:00:00 0.2131971 
 2009-10-01 00:00:00 0.1178073 
 2009-11-01 00:00:00 0.1100259 
 2009-12-01 00:00:00 0.1865781 
 2010-01-01 00:00:00 0.1805393 
 2010-02-01 00:00:00 0.1879601 
 2010-03-01 00:00:00 0.114172 
 2010-04-01 00:00:00 0.1858871 
 2010-05-01 00:00:00 0.1188288 
 2010-06-01 00:00:00 0.1161549 
 2010-07-01 00:00:00 0.1492033 
 2010-08-01 00:00:00 0.192617 
 2010-09-01 00:00:00 0.2109438 
 2010-10-01 00:00:00 0.2024414 
 2010-11-01 00:00:00 0.1301854 
 2010-12-01 00:00:00 0.1518472 
 2011-01-01 00:00:00 0.1481217 
 2011-02-01 00:00:00 0.1289837 
 2011-03-01 00:00:00 0.1266102 
 2011-04-01 00:00:00 0.1439156 
 2011-05-01 00:00:00 0.1405807 
 2011-06-01 00:00:00 0.1194898 
