#      date     time    value 
 2003-01-01 00:00:00 0.2784227 
 2003-02-01 00:00:00 0.2822083 
 2003-03-01 00:00:00 0.2429107 
 2003-04-01 00:00:00 0.1939689 
 2003-05-01 00:00:00 0.3308496 
 2003-06-01 00:00:00 0.2727144 
 2003-07-01 00:00:00 0.3750744 
 2003-08-01 00:00:00 0.5068476 
 2003-09-01 00:00:00 0.3724906 
 2003-10-01 00:00:00 0.2472671 
 2003-11-01 00:00:00 0.1912049 
 2003-12-01 00:00:00 0.2299918 
 2004-01-01 00:00:00 0.2329962 
 2004-02-01 00:00:00 0.333854 
 2004-03-01 00:00:00 0.3390817 
 2004-04-01 00:00:00 0.2157809 
 2004-05-01 00:00:00 0.3551853 
 2004-06-01 00:00:00 0.415003 
 2004-07-01 00:00:00 0.4261793 
 2004-08-01 00:00:00 0.4710351 
 2004-09-01 00:00:00 0.3472837 
 2004-10-01 00:00:00 0.2132272 
 2004-11-01 00:00:00 0.1405807 
 2004-12-01 00:00:00 0.2814271 
 2005-01-01 00:00:00 0.2999944 
 2005-02-01 00:00:00 0.2901399 
 2005-03-01 00:00:00 0.2243735 
 2005-04-01 00:00:00 0.2816675 
 2005-05-01 00:00:00 0.2477177 
 2005-06-01 00:00:00 0.3326823 
 2005-07-01 00:00:00 0.482542 
 2005-08-01 00:00:00 0.4347719 
 2005-09-01 00:00:00 0.4872889 
 2005-10-01 00:00:00 0.2127765 
 2005-11-01 00:00:00 0.2098322 
 2005-12-01 00:00:00 0.2788734 
 2006-01-01 00:00:00 0.2859037 
 2006-02-01 00:00:00 0.2360606 
 2006-03-01 00:00:00 0.1826423 
 2006-04-01 00:00:00 0.1813504 
 2006-05-01 00:00:00 0.2004585 
 2006-06-01 00:00:00 0.3565973 
 2006-07-01 00:00:00 0.3288066 
 2006-08-01 00:00:00 0.4459183 
 2006-09-01 00:00:00 0.3649496 
 2006-10-01 00:00:00 0.1936685 
 2006-11-01 00:00:00 0.1285931 
 2006-12-01 00:00:00 0.3249009 
 2007-01-01 00:00:00 0.3431677 
 2007-02-01 00:00:00 0.2359405 
 2007-03-01 00:00:00 0.3252314 
 2007-04-01 00:00:00 0.2494002 
 2007-05-01 00:00:00 0.2977711 
 2007-06-01 00:00:00 0.2330863 
 2007-07-01 00:00:00 0.3680141 
 2007-08-01 00:00:00 0.5312734 
 2007-09-01 00:00:00 0.4113075 
 2007-10-01 00:00:00 0.1962823 
 2007-11-01 00:00:00 0.1506154 
 2007-12-01 00:00:00 0.2592546 
 2008-01-01 00:00:00 0.2338073 
 2008-02-01 00:00:00 0.2925735 
 2008-03-01 00:00:00 0.2232018 
 2008-04-01 00:00:00 0.203523 
 2008-05-01 00:00:00 0.236962 
 2008-06-01 00:00:00 0.2798348 
 2008-07-01 00:00:00 0.427321 
 2008-08-01 00:00:00 0.4672495 
 2008-09-01 00:00:00 0.4993967 
 2008-10-01 00:00:00 0.2233821 
 2008-11-01 00:00:00 0.1763331 
 2008-12-01 00:00:00 0.2213691 
 2009-01-01 00:00:00 0.2599757 
 2009-02-01 00:00:00 0.2112743 
 2009-03-01 00:00:00 0.2462456 
 2009-04-01 00:00:00 0.1921963 
 2009-05-01 00:00:00 0.2194162 
 2009-06-01 00:00:00 0.2638213 
 2009-07-01 00:00:00 0.3366181 
 2009-08-01 00:00:00 0.5273977 
 2009-09-01 00:00:00 0.449133 
 2009-10-01 00:00:00 0.1618519 
 2009-11-01 00:00:00 0.1598389 
 2009-12-01 00:00:00 0.2850324 
 2010-01-01 00:00:00 0.3057929 
 2010-02-01 00:00:00 0.2380135 
 2010-03-01 00:00:00 0.2002181 
 2010-04-01 00:00:00 0.2538167 
 2010-05-01 00:00:00 0.1997374 
 2010-06-01 00:00:00 0.3020674 
 2010-07-01 00:00:00 0.3227978 
 2010-08-01 00:00:00 0.6010357 
 2010-09-01 00:00:00 0.4392785 
