#      date     time    value 
 2003-01-01 00:00:00 0.6326119 
 2003-02-01 00:00:00 0.4869284 
 2003-03-01 00:00:00 0.7972232 
 2003-04-01 00:00:00 0.3050718 
 2003-05-01 00:00:00 0.3023378 
 2003-06-01 00:00:00 0.2546279 
 2003-07-01 00:00:00 0.3285362 
 2003-08-01 00:00:00 0.3758856 
 2003-09-01 00:00:00 0.2557695 
 2003-10-01 00:00:00 0.1700238 
 2003-11-01 00:00:00 0.2552287 
 2003-12-01 00:00:00 0.548038 
 2004-01-01 00:00:00 0.6474237 
 2004-02-01 00:00:00 0.8573414 
 2004-03-01 00:00:00 1.010326 
 2004-04-01 00:00:00 0.3252013 
 2004-05-01 00:00:00 0.3709884 
 2004-06-01 00:00:00 0.4717862 
 2004-07-01 00:00:00 0.4588973 
 2004-08-01 00:00:00 0.3131236 
 2004-09-01 00:00:00 0.211725 
 2004-10-01 00:00:00 0.1954711 
 2004-11-01 00:00:00 0.2907708 
 2004-12-01 00:00:00 0.4987958 
 2005-01-01 00:00:00 0.9290865 
 2005-02-01 00:00:00 0.6263027 
 2005-03-01 00:00:00 0.5150797 
 2005-04-01 00:00:00 0.4412915 
 2005-05-01 00:00:00 0.2911614 
 2005-06-01 00:00:00 0.3745937 
 2005-07-01 00:00:00 0.3975474 
 2005-08-01 00:00:00 0.3940022 
 2005-09-01 00:00:00 0.3228278 
 2005-10-01 00:00:00 0.1921062 
 2005-11-01 00:00:00 0.3200938 
 2005-12-01 00:00:00 0.5140281 
 2006-01-01 00:00:00 0.5234319 
 2006-02-01 00:00:00 0.5243332 
 2006-03-01 00:00:00 0.6150061 
 2006-04-01 00:00:00 0.3861607 
 2006-05-01 00:00:00 0.2596753 
 2006-06-01 00:00:00 0.297681 
 2006-07-01 00:00:00 0.3796111 
 2006-08-01 00:00:00 0.4433345 
 2006-09-01 00:00:00 0.2746672 
 2006-10-01 00:00:00 0.1486024 
 2006-11-01 00:00:00 0.434802 
 2006-12-01 00:00:00 0.660613 
 2007-01-01 00:00:00 1.168688 
 2007-02-01 00:00:00 0.6076153 
 2007-03-01 00:00:00 0.7498738 
 2007-04-01 00:00:00 0.3503782 
 2007-05-01 00:00:00 0.2528853 
 2007-06-01 00:00:00 0.2525548 
 2007-07-01 00:00:00 0.3297079 
 2007-08-01 00:00:00 0.3553655 
 2007-09-01 00:00:00 0.2159912 
 2007-10-01 00:00:00 0.184445 
 2007-11-01 00:00:00 0.3088574 
 2007-12-01 00:00:00 0.5351491 
 2008-01-01 00:00:00 0.8482981 
 2008-02-01 00:00:00  1.12909 
 2008-03-01 00:00:00 0.4925466 
 2008-04-01 00:00:00 0.4085435 
 2008-05-01 00:00:00 0.2248242 
 2008-06-01 00:00:00 0.3232485 
 2008-07-01 00:00:00 0.3736323 
 2008-08-01 00:00:00 0.3295877 
 2008-09-01 00:00:00 0.2600959 
 2008-10-01 00:00:00 0.2068278 
 2008-11-01 00:00:00 0.3847486 
 2008-12-01 00:00:00 0.479147 
 2009-01-01 00:00:00 0.6705876 
 2009-02-01 00:00:00 0.5150496 
 2009-03-01 00:00:00 0.6644286 
 2009-04-01 00:00:00 0.2711521 
 2009-05-01 00:00:00 0.2974406 
 2009-06-01 00:00:00 0.3205745 
 2009-07-01 00:00:00 0.4213122 
 2009-08-01 00:00:00 0.395234 
 2009-09-01 00:00:00 0.2682078 
 2009-10-01 00:00:00 0.1563238 
 2009-11-01 00:00:00 0.3589708 
 2009-12-01 00:00:00 0.4338105 
 2010-01-01 00:00:00 0.6291268 
 2010-02-01 00:00:00 0.438918 
 2010-03-01 00:00:00 0.7593978 
 2010-04-01 00:00:00 0.3751345 
 2010-05-01 00:00:00 0.2973204 
 2010-06-01 00:00:00 0.3634774 
 2010-07-01 00:00:00 0.3854697 
 2010-08-01 00:00:00 0.432068 
 2010-09-01 00:00:00 0.2550184 
 2010-10-01 00:00:00 0.179698 
 2010-11-01 00:00:00 0.2420695 
 2010-12-01 00:00:00 0.4177069 
 2011-01-01 00:00:00 0.9019568 
 2011-02-01 00:00:00 0.4309263 
 2011-03-01 00:00:00 0.3866714 
 2011-04-01 00:00:00 0.4070112 
 2011-05-01 00:00:00 0.3199737 
 2011-06-01 00:00:00 0.3950237 
 2011-07-01 00:00:00 0.4673096 
 2011-08-01 00:00:00 0.4148527 
 2011-09-01 00:00:00 0.3103596 
 2011-10-01 00:00:00 0.1449371 
 2011-11-01 00:00:00 0.2969599 
 2011-12-01 00:00:00 0.6307192 
 2012-01-01 00:00:00 0.8513926 
 2012-02-01 00:00:00 0.7883602 
 2012-03-01 00:00:00 0.8010689 
 2012-04-01 00:00:00 0.4065305 
 2012-05-01 00:00:00 0.300415 
 2012-06-01 00:00:00 0.3419358 
 2012-07-01 00:00:00 0.3381503 
 2012-08-01 00:00:00 0.3339742 
 2012-09-01 00:00:00 0.2518338 
 2012-10-01 00:00:00 0.1856768 
 2012-11-01 00:00:00 0.2515934 
 2012-12-01 00:00:00  0.49486 
 2013-01-01 00:00:00 0.634024 
 2013-02-01 00:00:00 0.6952538 
 2013-03-01 00:00:00 0.3951138 
 2013-04-01 00:00:00 0.2531557 
 2013-05-01 00:00:00 0.330429 
 2013-06-01 00:00:00 0.4110071 
 2013-07-01 00:00:00 0.3854997 
 2013-08-01 00:00:00 0.4526782 
 2013-09-01 00:00:00 0.2699203 
 2013-10-01 00:00:00 0.2107335 
 2013-11-01 00:00:00 0.2809464 
 2013-12-01 00:00:00 0.4823316 
 2014-01-01 00:00:00 0.5602058 
 2014-02-01 00:00:00 0.6505182 
 2014-03-01 00:00:00 0.4733785 
 2014-04-01 00:00:00 0.2866248 
 2014-05-01 00:00:00 0.2109138 
 2014-06-01 00:00:00 0.3417556 
 2014-07-01 00:00:00 0.4884606 
 2014-08-01 00:00:00 0.430025 
 2014-09-01 00:00:00 0.2981316 
 2014-10-01 00:00:00 0.1722771 
 2014-11-01 00:00:00 0.2203476 
 2014-12-01 00:00:00 0.5271273 
 2015-01-01 00:00:00 0.891171 
 2015-02-01 00:00:00 0.4582063 
 2015-03-01 00:00:00 0.6529217 
 2015-04-01 00:00:00  0.62444 
 2015-05-01 00:00:00 0.3187719 
 2015-06-01 00:00:00 0.3717996 
 2015-07-01 00:00:00 0.3657307 
 2015-08-01 00:00:00 0.4115479 
