#      date     time    value 
 2003-01-01 00:00:00 0.169453 
 2003-02-01 00:00:00 0.1425636 
 2003-03-01 00:00:00 0.1983854 
 2003-04-01 00:00:00 0.1551821 
 2003-05-01 00:00:00 0.1987459 
 2003-06-01 00:00:00 0.1731484 
 2003-07-01 00:00:00 0.3203041 
 2003-08-01 00:00:00 0.3759457 
 2003-09-01 00:00:00 0.404788 
 2003-10-01 00:00:00 0.4025948 
 2003-11-01 00:00:00 0.1854364 
 2003-12-01 00:00:00 0.1924968 
 2004-01-01 00:00:00 0.1931578 
 2004-02-01 00:00:00 0.1409412 
 2004-03-01 00:00:00 0.1711355 
 2004-04-01 00:00:00 0.1603497 
 2004-05-01 00:00:00 0.1839943 
 2004-06-01 00:00:00 0.2337773 
 2004-07-01 00:00:00 0.2937752 
 2004-08-01 00:00:00 0.4030454 
 2004-09-01 00:00:00 0.473709 
 2004-10-01 00:00:00 0.2813971 
 2004-11-01 00:00:00 0.1753416 
 2004-12-01 00:00:00 0.1558431 
 2005-01-01 00:00:00 0.1890117 
 2005-02-01 00:00:00 0.185797 
 2005-03-01 00:00:00 0.1750412 
 2005-04-01 00:00:00 0.1786164 
 2005-05-01 00:00:00 0.2328459 
 2005-06-01 00:00:00 0.2848822 
 2005-07-01 00:00:00 0.3431677 
 2005-08-01 00:00:00 0.4946497 
 2005-09-01 00:00:00 0.6090274 
 2005-10-01 00:00:00 0.3286564 
 2005-11-01 00:00:00 0.1840544 
 2005-12-01 00:00:00 0.1655172 
 2006-01-01 00:00:00 0.1406107 
 2006-02-01 00:00:00 0.1209619 
 2006-03-01 00:00:00 0.163324 
 2006-04-01 00:00:00 0.1371857 
 2006-05-01 00:00:00 0.1172365 
 2006-06-01 00:00:00 0.2221803 
 2006-07-01 00:00:00 0.2491899 
 2006-08-01 00:00:00 0.3815339 
 2006-09-01 00:00:00 0.4105264 
 2006-10-01 00:00:00 0.2995737 
 2006-11-01 00:00:00 0.1866082 
 2006-12-01 00:00:00 0.2041839 
 2007-01-01 00:00:00 0.1915654 
 2007-02-01 00:00:00 0.1829728 
 2007-03-01 00:00:00 0.2065874 
 2007-04-01 00:00:00 0.1654572 
 2007-05-01 00:00:00 0.1390184 
 2007-06-01 00:00:00 0.2121456 
 2007-07-01 00:00:00 0.2728346 
 2007-08-01 00:00:00 0.4473904 
 2007-09-01 00:00:00 0.4909242 
 2007-10-01 00:00:00 0.3013163 
 2007-11-01 00:00:00 0.1595084 
 2007-12-01 00:00:00 0.1300653 
 2008-01-01 00:00:00 0.1406708 
 2008-02-01 00:00:00 0.1504652 
 2008-03-01 00:00:00 0.1522077 
 2008-04-01 00:00:00 0.1553323 
 2008-05-01 00:00:00 0.1436151 
 2008-06-01 00:00:00 0.183754 
 2008-07-01 00:00:00 0.2838006 
 2008-08-01 00:00:00 0.4731382 
 2008-09-01 00:00:00 0.5781121 
 2008-10-01 00:00:00 0.3586103 
 2008-11-01 00:00:00 0.1405206 
 2008-12-01 00:00:00 0.1308464 
 2009-01-01 00:00:00 0.1179275 
 2009-02-01 00:00:00 0.1157042 
 2009-03-01 00:00:00 0.1340611 
