#      date     time    value 
 2003-01-01 00:00:00 0.5349087 
 2003-02-01 00:00:00 0.5546777 
 2003-03-01 00:00:00 0.8791533 
 2003-04-01 00:00:00 0.3949936 
 2003-05-01 00:00:00 0.373452 
 2003-06-01 00:00:00 0.334515 
 2003-07-01 00:00:00 0.3714992 
 2003-08-01 00:00:00 0.3384207 
 2003-09-01 00:00:00 0.2505719 
 2003-10-01 00:00:00 0.232906 
 2003-11-01 00:00:00 0.381594 
 2003-12-01 00:00:00 0.6320711 
 2004-01-01 00:00:00 0.679691 
 2004-02-01 00:00:00 0.7476205 
 2004-03-01 00:00:00 0.9948529 
 2004-04-01 00:00:00 0.301136 
 2004-05-01 00:00:00 0.5824083 
 2004-06-01 00:00:00 0.5411278 
 2004-07-01 00:00:00 0.4274412 
 2004-08-01 00:00:00 0.3129433 
 2004-09-01 00:00:00 0.2337473 
 2004-10-01 00:00:00 0.2324554 
 2004-11-01 00:00:00 0.3637478 
 2004-12-01 00:00:00 0.5414583 
 2005-01-01 00:00:00 0.6971465 
 2005-02-01 00:00:00 0.5905803 
 2005-03-01 00:00:00 0.5377329 
 2005-04-01 00:00:00 0.5103627 
 2005-05-01 00:00:00 0.3204243 
 2005-06-01 00:00:00 0.3800317 
 2005-07-01 00:00:00 0.3774479 
 2005-08-01 00:00:00 0.3404036 
 2005-09-01 00:00:00 0.2552888 
 2005-10-01 00:00:00 0.2436317 
 2005-11-01 00:00:00  0.41299 
 2005-12-01 00:00:00 0.5854128 
 2006-01-01 00:00:00 0.5130367 
 2006-02-01 00:00:00 0.5202172 
 2006-03-01 00:00:00 0.7386674 
 2006-04-01 00:00:00 0.4076121 
 2006-05-01 00:00:00 0.2988226 
 2006-06-01 00:00:00 0.3709584 
 2006-07-01 00:00:00 0.3571381 
 2006-08-01 00:00:00 0.3655505 
 2006-09-01 00:00:00 0.2194162 
 2006-10-01 00:00:00 0.2257555 
 2006-11-01 00:00:00 0.4178271 
 2006-12-01 00:00:00 0.6208046 
 2007-01-01 00:00:00 0.6946228 
 2007-02-01 00:00:00 0.6560763 
 2007-03-01 00:00:00 0.7621318 
 2007-04-01 00:00:00 0.3647693 
 2007-05-01 00:00:00 0.2805859 
 2007-06-01 00:00:00 0.2768304 
 2007-07-01 00:00:00 0.3777183 
 2007-08-01 00:00:00 0.3297079 
 2007-09-01 00:00:00 0.2637312 
 2007-10-01 00:00:00 0.2173733 
 2007-11-01 00:00:00 0.3423865 
 2007-12-01 00:00:00 0.4974738 
 2008-01-01 00:00:00 0.6574283 
 2008-02-01 00:00:00 0.9015662 
 2008-03-01 00:00:00 0.5046243 
 2008-04-01 00:00:00 0.4391584 
 2008-05-01 00:00:00 0.2757188 
 2008-06-01 00:00:00 0.3845383 
 2008-07-01 00:00:00 0.347524 
 2008-08-01 00:00:00 0.3148962 
 2008-09-01 00:00:00 0.2242533 
 2008-10-01 00:00:00 0.2483487 
 2008-11-01 00:00:00 0.4213422 
 2008-12-01 00:00:00 0.5185648 
 2009-01-01 00:00:00 0.5414283 
 2009-02-01 00:00:00 0.5453941 
 2009-03-01 00:00:00 0.7164048 
 2009-04-01 00:00:00 0.339292 
 2009-05-01 00:00:00 0.4136209 
 2009-06-01 00:00:00 0.3462622 
 2009-07-01 00:00:00 0.4663482 
 2009-08-01 00:00:00 0.2693494 
 2009-09-01 00:00:00 0.2373225 
 2009-10-01 00:00:00 0.2066175 
 2009-11-01 00:00:00 0.3500477 
 2009-12-01 00:00:00 0.5096717 
 2010-01-01 00:00:00 0.6065337 
 2010-02-01 00:00:00 0.5499307 
 2010-03-01 00:00:00 0.7476205 
 2010-04-01 00:00:00 0.4443259 
 2010-05-01 00:00:00 0.3592412 
 2010-06-01 00:00:00 0.3884741 
 2010-07-01 00:00:00 0.4627129 
 2010-08-01 00:00:00 0.4147326 
 2010-09-01 00:00:00 0.2459451 
 2010-10-01 00:00:00 0.2070381 
 2010-11-01 00:00:00 0.3298882 
 2010-12-01 00:00:00 0.5633604 
 2011-01-01 00:00:00 0.6508487 
 2011-02-01 00:00:00 0.4903534 
 2011-03-01 00:00:00 0.4698333 
 2011-04-01 00:00:00 0.4586569 
 2011-05-01 00:00:00 0.3558162 
 2011-06-01 00:00:00 0.507779 
 2011-07-01 00:00:00 0.4712754 
 2011-08-01 00:00:00 0.3886543 
